Instructor,A rate,Pass rate,Withdraw rate
"Harrison, Virginia Susan",89.0,100.0,0.0
"Kittelstad, Catherine Ann",33.0,81.5,2.0
"Wooster, Edgar Daniels",25.0,78.0,8.0
"Adkins-Daniel, Alexandra Mariana",44.0,78.33333333333334,14.333333333333334
"Engineer, Margi Jigneshkumar",51.0,69.0,12.0
"Plaue, Christopher M",39.0,78.0,12.0
"Patrick, Ryan Stewart",32.666666666666664,76.66666666666666,15.333333333333334
"Widman, Nicolas Benjamin",62.166666666666664,95.5,1.8333333333333333
"Xu, Ran",61.0,95.5,0.5
"Re, Matthew Joseph",48.666666666666664,93.33333333333333,0.0
"Lowe, Rose M",70.0,90.0,7.0
"Feaster, Yvon H.",25.5,75.5,6.0
"Shue, Mitch",93.33333333333333,99.66666666666666,0.3333333333333333
"Ransom, Timothy Scott",54.0,87.0,3.0
"Smotherman, Mark K",47.333333333333336,95.66666666666667,2.0
"Sorber, Jacob M",16.0,49.0,33.0
"Zhang, Zhenkai",64.0,90.0,3.0
"Goddard, Wayne D",18.0,94.0,2.0
"Yuan, Xiaoyong",85.5,97.0,0.5
"Drachova, Svetlana V",43.333333333333336,78.0,10.666666666666666
"Robb, Andrew C",56.5,82.0,13.5
"Taylor, Constance Louise",51.0,93.66666666666667,2.0
"Brinkley, Julian Langston",85.0,98.0,1.0
"Rodeghero, Paige Anne",77.66666666666667,89.0,7.0
"Ge, Rong",78.33333333333333,91.66666666666666,4.333333333333333
"Pese, Mert",63.25,95.25,3.75
"Iuricich, Federico",55.0,96.0,2.0
"Dhillon, Daljit Singh",33.0,76.0,10.0
"Babu, Sabarish Venkat",26.0,89.0,4.0
"Duchowski, Andrew T",60.0,100.0,0.0
"Park, Jinkyung Katie",80.0,95.0,2.0
"Volonte, Matias",83.0,95.0,2.0
"Barwulor, Catherine",27.0,97.0,0.0
"Cheng, Long",61.0,100.0,0.0
"Toxtli Hernandez, Carlos",80.0,90.0,7.0
"Masino, Aaron J",86.0,100.0,0.0
"Razi, Abolfazl",58.333333333333336,77.0,7.0
"Li, Nianyi",76.66666666666667,90.0,10.0
"Flathmann, Christopher Tod",88.0,100.5,0.0
"Van Scoy, Roger Larry",43.25,95.25,1.5
"Jin, Shuangshuang",55.0,95.0,5.0
"Freeman, Guo",71.5,98.5,1.5
"Kraemer, Eileen Theresa",78.0,92.5,0.0
"Dean, Brian Christopher",20.0,66.0,20.0
"Liu, Kai",89.5,95.5,4.5
"Luo, Feng",60.0,99.0,2.0
"Huang, Siyu",92.0,100.0,0.0
"Yu, Lu",56.6,91.39999999999999,3.0
"Morris, Eric A",39.0,72.0,6.0
"Kinney, Edward Aaron",42.0,100.0,0.0
"Nocks, Barry C",67.0,100.0,0.0
"Dyckman, Caitlin",62.0,82.5,3.5
"Waugaman, Gretchen E",67.5,100.0,0.0
"Jackson, Nathaniel M",78.0,96.5,0.0
"Bingenheimer, Kirk Alan",46.0,100.0,0.0
"Sharma, Harnish",70.5,99.5,0.0
"Gauthier, Richard William",47.0,101.0,0.0
"Boulding, Alastair Wright",76.66666666666667,100.0,0.0
"Burgett, Joseph Michael",61.0,100.33333333333333,0.0
"Yoon, Jonghan",63.5,97.5,2.0
"Mousavi Rizi, Seyed Ehsan",38.0,92.0,4.0
"Bell, Michael Frederick",43.0,86.0,7.0
"Townsend, Craig N",8.0,100.0,0.0
"Corley, Nicholas L",73.0,99.0,0.0
"Gajjar, Dhaval R",52.0,99.0,0.0
"Abukhalaf, Amer Hamad Issa",69.0,100.0,0.0
"Malone, Bryan W",82.0,100.0,0.0
"Lucas, Jason D",82.0,100.0,0.0
"Sharma, Vivek",55.666666666666664,100.0,0.0
"Neel, Catherine Maroska",52.0,77.0,5.0
"Babb, Bryn Zimmermann",79.0,91.0,0.0
"Spellman, Christopher Wilton",87.0,94.0,0.0
"Radford, Katelyn McCulley",89.0,100.0,0.0
"Pyatt, Ti-Ana Zanoviah",91.0,100.0,0.0
"Hosler, Cheryl L",88.0,100.0,0.0
"Florencio Da Costa, Rodney",71.0,71.0,29.0
"Li, Xiang",37.5,87.5,12.5
"Summey, Anthony K",62.0,85.0,8.0
"Kunkel, Deborah Elizabeth",64.5,95.5,3.0
"Breazel, Ellen Hepfer",66.0,88.0,3.0
"Huang, Whitney K",86.0,98.5,0.0
"Ke, Zhihong",51.5,90.5,1.5
"Kim, Hongki",76.0,99.0,1.5
"Tripp, John Frederick",67.0,97.75,0.75
"Vaughn, David E",77.0,94.5,5.5
"Mefford, Olin T",83.33333333333333,95.0,0.0
"Lavalla, Joseph Vincent",80.0,80.0,0.0
"Reid, William J",26.0,78.0,6.666666666666667
"Cai, Qing",71.88888888888889,86.77777777777777,8.444444444444445
"Harrell, William R",69.1,89.8,5.0
"Koley, Goutam",14.0,76.0,6.0
"Martin, Anthony Q",19.5,85.5,2.0
"Raza, Tehseen Z",76.72727272727273,97.36363636363637,0.9090909090909091
"Kapadia, Apoorva Deepak",81.91666666666667,91.25,5.75
"Russell, Harlan B",34.0,76.0,17.0
"Zhao, Lianfeng",34.0,88.0,2.0
"Zhang, Lan",75.0,96.5,0.0
"Hubbard, Stephen J",35.0,81.0,2.0
"Baum, Carl W",33.0,77.0,7.0
"Groff, Richard E",61.5,98.0,0.0
"Edrington, Christopher Shannon",61.0,100.0,0.0
"Dong, Liang",47.0,93.0,5.0
"Wang, Pingshan",17.0,96.0,0.0
"Smith, Melissa Crawley",67.0,67.0,17.0
"Ryckman, Judson Douglas",58.0,90.0,0.0
"Brahma, Sukumar Makarand",48.5,72.0,13.5
"Afghah, Fatemeh",36.0,98.0,2.0
"Ma, Xiaolong",76.5,100.5,0.0
"Wu, Yongkai",91.0,96.0,3.5
"Brooks, Richard R",44.0,69.0,19.0
"Singh, Rajendra",57.5,100.5,0.0
"Wang, Yongqiang",68.5,100.0,0.0
"Raza, Hassan",88.0,100.0,0.0
"Calhoun, Jon Cameron",89.0,89.0,0.0
"Hadidi, Ramtin",33.0,83.0,17.0
"Guo, Linke",71.0,100.0,0.0
"Abd Almageed, Wael",60.0,100.0,0.0
"Campbell, Jacob B",26.0,81.5,5.5
"Ivankovic, Miren",48.0,91.0,3.3333333333333335
"Hanssen, Frederick Andrew",14.2,91.86666666666666,1.0666666666666667
"Adhikari, Pratistha",38.0,98.0,2.0
"Kanode, Alexander",66.0,100.0,0.0
"Posmanick, Benjamin James",45.5,97.5,1.0
"Mclain, Travis S",27.0,74.0,3.0
"Jaros, Benjamin R",44.0,98.0,0.0
"Stalvey, Michael B",42.5,88.0,2.5
"Laha, Meghna",53.0,96.0,5.0
"Eaton, Matthew Ryan",45.0,92.0,6.0
"Xing, Youwei",45.0,99.0,1.5
"Dey, Titir",53.5,95.5,2.5
"Williams, Dean A",18.0,97.0,0.0
"Nwoye, Chukwuma G",53.0,98.0,2.0
"Thomas, Charles J",19.0,86.0,10.0
"Li, Guo",45.0,97.0,0.0
"Leganza, Jonathan Michael",39.5,84.0,4.5
"Guzman, Kendyl Haley",95.0,95.0,5.0
"Banerjee, Srijan",31.5,95.5,2.5
"Hao, Yan",60.0,99.5,0.0
"Hu, Jingyun",63.0,89.0,9.0
"Sweeney, Carol A.",27.333333333333332,85.0,5.0
"Melo, Vitor C",56.0,95.0,0.0
"Loeb, Alexander M",36.0,86.0,5.0
"Hobbs, Bradley Keith",27.0,73.5,3.0
"Sharma, Krishna",95.0,100.0,0.0
"Dunagan, Nicholas Dell",55.0,95.0,0.0
"Espey, Molly",30.5,94.0,0.0
"Warren, Patrick L",25.0,64.0,21.0
"Zhou, Yichen Christy",60.5,91.5,4.0
"Jerzmanowski, Michal Maria",24.5,78.0,4.5
"De Carvalho Lins, Paulo",30.0,81.0,3.0
"Pedtke, Joseph Herman",45.0,88.0,2.0
"Makowsky, Michael D",50.0,96.0,2.0
"Bodenhorn, Howard Nelson",25.0,91.0,3.0
"Litsukova-Bokar, Daria",28.0,81.0,0.0
"Soliman, Adam",54.0,100.0,0.0
"An, Jang Hyeok",53.0,90.0,3.0
"Choi, Jonghyeok",63.0,93.0,0.0
"Tamura, Robert F",78.0,100.0,0.0
"Chen, Cheng",70.0,100.0,0.0
